"Accession","cluster_limited"
"SRR8566791","Other"
"SRR8566756","93"
"SRR8566789","1"
"SRR8566794","15"
"SRR8566795","26"
"SRR8566792","Other"
"SRR8566793","Other"
"SRR8566750","Other"
"SRR8566751","21"
"SRR8566514","1"
"SRR8566513","Other"
"SRR8566512","26"
"SRR8566511","Other"
"SRR8566510","3"
"SRR8566509","180"
"SRR8566508","7"
"SRR8566507","Other"
"SRR8566506","Other"
"SRR8566505","Other"
"SRR8566947","23"
"SRR8566948","22"
"SRR8566632","Other"
"SRR8566634","Other"
"SRR8566951","Other"
"SRR8566952","Other"
"SRR8566953","14"
"SRR8566954","38"
"SRR8566635","Other"
"SRR8566640","Other"
"SRR8566971","Other"
"SRR8566970","26"
"SRR8566973","23"
"SRR8566972","34"
"SRR8566967","22"
"SRR8566966","50"
"SRR8566993","3"
"SRR8566986","Other"
"SRR8566987","Other"
"SRR8566988","22"
"SRR8566989","14"
"SRR8566984","15"
"SRR8566985","180"
"SRR8566492","38"
"SRR8566491","203"
"SRR8566490","180"
"SRR8566489","1"
"SRR8566496","Other"
"SRR8566495","180"
"SRR8566494","23"
"SRR8566493","230"
"SRR8566487","Other"
"SRR8566486","155"
"SRR8566741","1"
"SRR8566742","35"
"SRR8566739","Other"
"SRR8566740","Other"
"SRR8566737","15"
"SRR8566738","Other"
"SRR8566735","23"
"SRR8566736","Other"
"SRR8566743","33"
"SRR8566744","Other"
"SRR8567226","15"
"SRR8567223","1"
"SRR8566768","26"
"SRR8566767","180"
"SRR8566762","3"
"SRR8566761","21"
"SRR8566764","Other"
"SRR8566763","Other"
"SRR8567254","Other"
"SRR8566691","Other"
"SRR8567064","1"
"SRR8567065","15"
"SRR8566708","155"
"SRR8566558","Other"
"SRR8567068","180"
"SRR8567069","180"
"SRR8567070","15"
"SRR8567071","58"
"SRR8566579","Other"
"SRR8566583","1"
"SRR8566645","26"
"SRR8566644","Other"
"SRR8566643","Other"
"SRR8566642","38"
"SRR8566641","26"
"SRR8566609","Other"
"SRR8566639","23"
"SRR8566638","159"
"SRR8566637","311"
"SRR8566636","58"
"SRR8567262","96"
"SRR8567263","Other"
"SRR8567260","26"
"SRR8567261","311"
"SRR8567266","180"
"SRR8567267","Other"
"SRR8567264","Other"
"SRR8567265","Other"
"SRR8567258","38"
"SRR8567259","15"
"SRR8566998","Other"
"SRR8566997","Other"
"SRR8567000","4"
"SRR8566752","Other"
"SRR8567096","15"
"SRR8567095","Other"
"SRR8566582","38"
"SRR8566581","86"
"SRR8566580","2"
"SRR8566769","Other"
"SRR8566770","15"
"SRR8566771","1"
"SRR8566772","Other"
"SRR8566765","33"
"SRR8566766","23"
"SRR8566969","180"
"SRR8566968","23"
"SRR8566965","38"
"SRR8566964","38"
"SRR8567236","23"
"SRR8567237","Other"
"SRR8566999","11"
"SRR8567002","Other"
"SRR8567001","1"
"SRR8567004","Other"
"SRR8567003","21"
"SRR8566996","203"
"SRR8566995","Other"
"SRR8566503","67"
"SRR8566504","23"
"SRR8566646","23"
"SRR8566647","77"
"SRR8566499","Other"
"SRR8566500","Other"
"SRR8566501","311"
"SRR8566502","180"
"SRR8566649","180"
"SRR8566651","23"
"SRR8567099","26"
"SRR8567083","11"
"SRR8566749","23"
"SRR8566748","180"
"SRR8566755","1"
"SRR8566754","Other"
"SRR8566753","Other"
"SRR8566907","Other"
"SRR8566578","Other"
"SRR8566577","Other"
"SRR8566576","Other"
"SRR8566575","180"
"SRR8566586","14"
"SRR8566585","38"
"SRR8567056","1"
"SRR8567057","16"
"SRR8566519","Other"
"SRR8566527","Other"
"SRR8567060","180"
"SRR8567061","180"
"SRR8567062","15"
"SRR8567063","180"
"SRR8566516","180"
"SRR8566517","311"
"SRR8566497","23"
"SRR8566563","180"
"SRR8566515","180"
"SRR8566528","34"
"SRR8566584","Other"
"SRR8566555","Other"
"SRR8566595","21"
"SRR8566944","15"
"SRR8566943","180"
"SRR8566800","180"
"SRR8567240","Other"
"SRR8567227","1"
"SRR8566796","23"
"SRR8567251","23"
"SRR8567253","Other"
"SRR8566745","180"
"SRR8567250","33"
"SRR8567194","Other"
"SRR8567195","67"
"SRR8567103","Other"
"SRR8567102","15"
"SRR8567101","15"
"SRR8567234","Other"
"SRR8567235","203"
"SRR8567232","Other"
"SRR8567233","16"
"SRR8567230","Other"
"SRR8567231","4"
"SRR8567228","15"
"SRR8567229","Other"
"SRR8566990","Other"
"SRR8566991","33"
"SRR8566992","Other"
"SRR8567100","Other"
"SRR8567107","1"
"SRR8567106","77"
"SRR8567105","180"
"SRR8567104","Other"
"SRR8567109","96"
"SRR8567108","Other"
"SRR8566901","38"
"SRR8566902","203"
"SRR8566903","Other"
"SRR8566904","155"
"SRR8566897","Other"
"SRR8566898","Other"
"SRR8566899","96"
"SRR8566900","180"
"SRR8566905","58"
"SRR8566906","11"
"SRR8566531","1"
"SRR8566488","11"
"SRR8567198","38"
"SRR8567193","Other"
"SRR8566801","38"
"SRR8566799","Other"
"SRR8566818","Other"
"SRR8567081","180"
"SRR8566819","203"
"SRR8566817","311"
"SRR8566733","Other"
"SRR8566734","Other"
"SRR8566731","96"
"SRR8566887","180"
"SRR8567021","155"
"SRR8567022","21"
"SRR8567023","Other"
"SRR8567024","2"
"SRR8567110","Other"
"SRR8566892","180"
"SRR8566548","Other"
"SRR8566547","1"
"SRR8566546","15"
"SRR8566545","23"
"SRR8566552","93"
"SRR8566551","Other"
"SRR8566550","23"
"SRR8566549","Other"
"SRR8566554","Other"
"SRR8566613","3"
"SRR8566813","Other"
"SRR8566544","Other"
"SRR8566633","Other"
"SRR8566650","Other"
"SRR8566662","22"
"SRR8566746","3"
"SRR8567257","203"
"SRR8567082","15"
"SRR8566886","311"
"SRR8566520","Other"
"SRR8566518","180"
"SRR8566522","22"
"SRR8566521","180"
"SRR8566526","180"
"SRR8566732","Other"
"SRR8566729","Other"
"SRR8566730","96"
"SRR8566727","Other"
"SRR8566728","Other"
"SRR8566725","15"
"SRR8566726","38"
"SRR8567036","38"
"SRR8567035","Other"
"SRR8567034","Other"
"SRR8567033","Other"
"SRR8567032","15"
"SRR8567031","1"
"SRR8567030","15"
"SRR8567029","38"
"SRR8567028","15"
"SRR8567027","11"
"SRR8566852","203"
"SRR8566853","93"
"SRR8566855","77"
"SRR8566856","3"
"SRR8566857","180"
"SRR8566858","Other"
"SRR8566859","96"
"SRR8566860","180"
"SRR8566861","Other"
"SRR8566895","Other"
"SRR8566896","Other"
"SRR8566893","Other"
"SRR8566894","23"
"SRR8566890","15"
"SRR8566891","21"
"SRR8566888","4"
"SRR8566889","180"
"SRR8567241","93"
"SRR8566981","15"
"SRR8566980","180"
"SRR8566983","180"
"SRR8566982","180"
"SRR8566977","180"
"SRR8566976","155"
"SRR8566979","Other"
"SRR8566798","16"
"SRR8566975","23"
"SRR8566885","3"
"SRR8567025","15"
"SRR8567026","11"
"SRR8567097","Other"
"SRR8566553","Other"
"SRR8566815","Other"
"SRR8566816","Other"
"SRR8567150","15"
"SRR8560160","Other"
"SRR8560230","180"
"SRR8567151","180"
"SRR8566529","180"
"SRR8566530","Other"
"SRR8566524","15"
"SRR8567152","Other"
"SRR8567153","Other"
"SRR8567154","Other"
"SRR8567155","Other"
"SRR8566607","Other"
"SRR8566608","203"
"SRR8567220","Other"
"SRR8567219","Other"
"SRR8567222","1"
"SRR8567221","180"
"SRR8567216","26"
"SRR8567215","3"
"SRR8567218","15"
"SRR8566835","93"
"SRR8567224","Other"
"SRR8566869","16"
"SRR8560585","Other"
"SRR8560586","1"
"SRR8560583","Other"
"SRR8560584","34"
"SRR8560581","67"
"SRR8560582","21"
"SRR8560579","23"
"SRR8560580","159"
"SRR8560588","38"
"SRR8560589","180"
"SRR8560482","Other"
"SRR8560483","Other"
"SRR8560480","Other"
"SRR8560481","Other"
"SRR8560478","180"
"SRR8560479","15"
"SRR8560476","23"
"SRR8560477","180"
"SRR8560474","Other"
"SRR8560475","21"
"SRR8560576","1"
"SRR8560575","Other"
"SRR8560574","38"
"SRR8560573","Other"
"SRR8560572","Other"
"SRR8560569","1"
"SRR8560570","1"
"SRR8560567","Other"
"SRR8560578","Other"
"SRR8560577","Other"
"SRR8560161","Other"
"SRR8560162","23"
"SRR8560163","Other"
"SRR8560164","180"
"SRR8560165","180"
"SRR8560166","35"
"SRR8560167","58"
"SRR8560168","1"
"SRR8560169","Other"
"SRR8560170","22"
"SRR8560382","1"
"SRR8560381","Other"
"SRR8560384","3"
"SRR8560383","93"
"SRR8560386","Other"
"SRR8560385","Other"
"SRR8560388","Other"
"SRR8560387","15"
"SRR8560390","1"
"SRR8560389","21"
"SRR8560538","15"
"SRR8560539","Other"
"SRR8560536","15"
"SRR8560537","15"
"SRR8560542","Other"
"SRR8560543","180"
"SRR8560540","180"
"SRR8560541","15"
"SRR8560544","231"
"SRR8560545","180"
"SRR8560058","96"
"SRR8560057","21"
"SRR8560056","Other"
"SRR8560415","Other"
"SRR8560062","3"
"SRR8560413","23"
"SRR8560060","180"
"SRR8560059","180"
"SRR8560054","Other"
"SRR8560320","1"
"SRR8560219","Other"
"SRR8560220","180"
"SRR8560221","15"
"SRR8560222","Other"
"SRR8560216","Other"
"SRR8560217","1"
"SRR8560218","67"
"SRR8560223","38"
"SRR8560224","26"
"SRR8560146","Other"
"SRR8560145","Other"
"SRR8560148","33"
"SRR8560147","180"
"SRR8560142","Other"
"SRR8560141","26"
"SRR8560309","96"
"SRR8560307","Other"
"SRR8560324","180"
"SRR8560323","180"
"SRR8560297","15"
"SRR8560298","67"
"SRR8560295","15"
"SRR8560296","1"
"SRR8560293","21"
"SRR8560294","15"
"SRR8560417","Other"
"SRR8560546","Other"
"SRR8560158","15"
"SRR8560229","1"
"SRR8560232","Other"
"SRR8560231","Other"
"SRR8560226","3"
"SRR8560225","86"
"SRR8560228","Other"
"SRR8560227","1"
"SRR8560234","15"
"SRR8560233","180"
"SRR8560069","Other"
"SRR8560070","203"
"SRR8560067","Other"
"SRR8560068","180"
"SRR8560246","11"
"SRR8560211","231"
"SRR8560212","180"
"SRR8560209","180"
"SRR8560210","180"
"SRR8560207","1"
"SRR8560208","180"
"SRR8560205","Other"
"SRR8560206","180"
"SRR8560203","159"
"SRR8560204","180"
"SRR8560368","33"
"SRR8560367","180"
"SRR8560370","15"
"SRR8560369","Other"
"SRR8560364","Other"
"SRR8560363","Other"
"SRR8560366","Other"
"SRR8560365","Other"
"SRR8560362","Other"
"SRR8560462","15"
"SRR8560463","Other"
"SRR8560559","180"
"SRR8560465","Other"
"SRR8560458","Other"
"SRR8560459","Other"
"SRR8560215","231"
"SRR8560065","180"
"SRR8560066","Other"
"SRR8560063","Other"
"SRR8560064","Other"
"SRR8560071","180"
"SRR8560072","180"
"SRR8560489","203"
"SRR8560488","3"
"SRR8560487","Other"
"SRR8560486","231"
"SRR8560493","23"
"SRR8560492","Other"
"SRR8560491","Other"
"SRR8560490","67"
"SRR8560485","Other"
"SRR8560484","1"
"SRR8560331","Other"
"SRR8560332","Other"
"SRR8560333","Other"
"SRR8560334","Other"
"SRR8560327","203"
"SRR8560328","180"
"SRR8560329","Other"
"SRR8560330","15"
"SRR8560325","231"
"SRR8560460","15"
"SRR8560461","203"
"SRR8560470","180"
"SRR8560046","180"
"SRR8560051","77"
"SRR8560050","203"
"SRR8560267","14"
"SRR8560268","Other"
"SRR8560265","Other"
"SRR8560266","Other"
"SRR8560271","21"
"SRR8560272","Other"
"SRR8560587","Other"
"SRR8560590","15"
"SRR8560289","Other"
"SRR8560276","180"
"SRR8560412","Other"
"SRR8560411","Other"
"SRR8560423","180"
"SRR8560422","34"
"SRR8560425","180"
"SRR8560424","Other"
"SRR8560427","Other"
"SRR8560426","Other"
"SRR8560419","Other"
"SRR8560416","Other"
"SRR8560518","Other"
"SRR8560519","180"
"SRR8560520","Other"
"SRR8560521","15"
"SRR8560522","1"
"SRR8560523","180"
"SRR8560524","180"
"SRR8560525","Other"
"SRR8560516","180"
"SRR8560517","203"
"SRR8560186","Other"
"SRR8560185","15"
"SRR8560108","Other"
"SRR8560107","180"
"SRR8560106","Other"
"SRR8560105","180"
"SRR8560104","1"
"SRR8560103","Other"
"SRR8560214","4"
"SRR8560213","451"
"SRR8560079","Other"
"SRR8560080","50"
"SRR8560077","38"
"SRR8560078","22"
"SRR8560075","Other"
"SRR8560076","93"
"SRR8560073","1"
"SRR8560074","Other"
"SRR8560081","180"
"SRR8560082","23"
"SRR8560240","1"
"SRR8560239","Other"
"SRR8560242","Other"
"SRR8560241","Other"
"SRR8560236","38"
"SRR8560235","Other"
"SRR8560238","Other"
"SRR8560237","67"
"SRR8560173","180"
"SRR8560174","26"
"SRR8560179","180"
"SRR8560180","180"
"SRR8560177","1"
"SRR8560178","Other"
"SRR8560181","Other"
"SRR8560182","Other"
"SRR8560529","96"
"SRR8560528","Other"
"SRR8560527","231"
"SRR8560326","15"
"SRR8560300","96"
"SRR8560299","Other"
"SRR8560302","203"
"SRR8560301","15"
"SRR8560304","96"
"SRR8560303","Other"
"SRR8560306","1"
"SRR8560305","180"
"SRR8560292","203"
"SRR8560291","Other"
"SRR8560151","180"
"SRR8560152","180"
"SRR8560149","203"
"SRR8560150","Other"
"SRR8560155","Other"
"SRR8560156","180"
"SRR8560153","159"
"SRR8560154","Other"
"SRR8560143","180"
"SRR8560144","Other"
"SRR8560566","Other"
"SRR8560564","Other"
"SRR8560563","15"
"SRR8560562","15"
"SRR8560561","180"
"SRR8560560","Other"
"SRR8560494","Other"
"SRR8560558","Other"
"SRR8560557","15"
"SRR8560391","Other"
"SRR8560392","Other"
"SRR8560393","34"
"SRR8560394","451"
"SRR8560395","180"
"SRR8560396","96"
"SRR8560397","Other"
"SRR8560398","Other"
"SRR8560399","96"
"SRR8560400","Other"
"SRR8560408","Other"
"SRR8560407","93"
"SRR8560410","180"
"SRR8560409","180"
"SRR8560404","311"
"SRR8560403","3"
"SRR8560406","1"
"SRR8560405","Other"
"SRR8560402","Other"
"SRR8560401","1"
"SRR8560254","Other"
"SRR8560251","Other"
"SRR8560252","Other"
"SRR8560249","Other"
"SRR8560250","180"
"SRR8560247","93"
"SRR8560248","35"
"SRR8560245","4"
"SRR8560571","180"
"SRR8560045","180"
"SRR8560044","180"
"SRR8560043","67"
"SRR8560042","203"
"SRR8560049","38"
"SRR8560048","203"
"SRR8560047","277"
"SRR8560244","11"
"SRR8560243","Other"
"SRR8560016","Other"
"SRR8560015","Other"
"SRR8560014","180"
"SRR8560013","Other"
"SRR8560012","Other"
"SRR8560597","15"
"SRR8560596","15"
"SRR8560595","96"
"SRR8560019","203"
"SRR8560018","Other"
"SRR8560428","Other"
"SRR8560429","Other"
"SRR8560430","23"
"SRR8560431","Other"
"SRR8560432","180"
"SRR8560433","Other"
"SRR8560434","180"
"SRR8560435","Other"
"SRR8560420","180"
"SRR8560526","Other"
"SRR8560533","Other"
"SRR8560532","3"
"SRR8560531","Other"
"SRR8560530","180"
"SRR8560535","15"
"SRR8560375","96"
"SRR8560376","96"
"SRR8560377","Other"
"SRR8560378","180"
"SRR8560371","311"
"SRR8560372","14"
"SRR8560373","231"
"SRR8560374","14"
"SRR8560379","180"
"SRR8560380","180"
"SRR8560278","159"
"SRR8560277","Other"
"SRR8560280","Other"
"SRR8560279","Other"
"SRR8560274","Other"
"SRR8560273","Other"
"SRR8560338","96"
"SRR8560275","Other"
"SRR8560270","96"
"SRR8560269","Other"
"SRR8560117","67"
"SRR8560118","Other"
"SRR8560115","50"
"SRR8560116","Other"
"SRR8560113","180"
"SRR8560114","Other"
"SRR8560111","Other"
"SRR8560112","180"
"SRR8560109","231"
"SRR8560110","Other"
"SRR8560473","Other"
"SRR8560472","96"
"SRR8560471","180"
"SRR8560568","Other"
"SRR8560132","180"
"SRR8560131","58"
"SRR8560119","Other"
"SRR8560120","15"
"SRR8560421","180"
"SRR8560340","Other"
"SRR8560339","86"
"SRR8560342","Other"
"SRR8560341","86"
"SRR8560344","180"
"SRR8560343","Other"
"SRR8560346","67"
"SRR8560345","Other"
"SRR8560348","203"
"SRR8560347","96"
"SRR8560175","311"
"SRR8560176","Other"
"SRR8560469","180"
"SRR8560468","Other"
"SRR8560467","Other"
"SRR8560466","502"
"SRR8560565","Other"
"SRR8560464","180"
"SRR8560310","15"
"SRR8560311","Other"
"SRR8560312","180"
"SRR8560313","Other"
"SRR8560314","14"
"SRR8560315","Other"
"SRR8560316","1"
"SRR8560317","Other"
"SRR8560318","180"
"SRR8560319","Other"
"SRR8560283","Other"
"SRR8560284","180"
"SRR8560285","Other"
"SRR8560286","231"
"SRR8560287","15"
"SRR8560288","Other"
"SRR8560101","Other"
"SRR8560290","Other"
"SRR8560281","15"
"SRR8560282","14"
"SRR8560449","Other"
"SRR8560448","Other"
"SRR8560447","Other"
"SRR8560446","180"
"SRR8560445","502"
"SRR8560444","180"
"SRR8560443","14"
"SRR8560442","Other"
"SRR8560457","180"
"SRR8560456","15"
"SRR8560026","22"
"SRR8560027","Other"
"SRR8560024","180"
"SRR8560025","Other"
"SRR8560030","96"
"SRR8560028","Other"
"SRR8560029","96"
"SRR8560034","180"
"SRR8560035","180"
"SRR8560188","180"
"SRR8560121","Other"
"SRR8560122","203"
"SRR8560123","Other"
"SRR8560124","180"
"SRR8560125","180"
"SRR8560126","180"
"SRR8560127","180"
"SRR8560128","15"
"SRR8560022","Other"
"SRR8560021","180"
"SRR8560020","159"
"SRR8560017","Other"
"SRR8560187","15"
"SRR8560190","Other"
"SRR8560189","180"
"SRR8560192","Other"
"SRR8560191","180"
"SRR8560194","Other"
"SRR8560193","Other"
"SRR8560196","Other"
"SRR8560195","96"
"SRR8560052","180"
"SRR8560053","Other"
"SRR8560055","3"
"SRR8560061","180"
"SRR8560040","Other"
"SRR8560041","Other"
"SRR8560308","38"
"SRR8560023","180"
"SRR8560183","50"
"SRR8560184","Other"
"SRR8560437","Other"
"SRR8560436","277"
"SRR8560418","Other"
"SRR8560414","Other"
"SRR8560441","180"
"SRR8560440","15"
"SRR8560439","96"
"SRR8560438","180"
"SRR8560350","15"
"SRR8560349","180"
"SRR8560555","180"
"SRR8560556","Other"
"SRR8560553","180"
"SRR8560554","1"
"SRR8560551","Other"
"SRR8560552","180"
"SRR8560549","231"
"SRR8560550","15"
"SRR8560547","15"
"SRR8560548","180"
"SRR8560138","Other"
"SRR8560137","Other"
"SRR8560140","96"
"SRR8560139","231"
"SRR8560134","Other"
"SRR8560133","38"
"SRR8560136","Other"
"SRR8560172","Other"
"SRR8560038","180"
"SRR8560594","277"
"SRR8560593","155"
"SRR8560592","180"
"SRR8560591","180"
"SRR8560094","15"
"SRR8560093","93"
"SRR8560096","Other"
"SRR8560095","Other"
"SRR8560098","180"
"SRR8560097","180"
"SRR8560100","1"
"SRR8560099","3"
"SRR8560102","451"
"SRR8560171","Other"
"SRR8560508","Other"
"SRR8560135","Other"
"SRR8560509","Other"
"SRR8560506","23"
"SRR8560507","180"
"SRR8560512","Other"
"SRR8560513","15"
"SRR8560510","Other"
"SRR8560511","180"
"SRR8560514","180"
"SRR8560515","180"
"SRR8560358","Other"
"SRR8560357","67"
"SRR8560356","21"
"SRR8560355","22"
"SRR8560354","203"
"SRR8560353","180"
"SRR8560352","451"
"SRR8560351","Other"
"SRR8560360","67"
"SRR8560359","58"
"SRR8560157","67"
"SRR8560159","Other"
"SRR8560197","180"
"SRR8560198","Other"
"SRR8560200","180"
"SRR8560201","Other"
"SRR8560202","58"
"SRR8560129","502"
"SRR8560130","Other"
"SRR8560037","231"
"SRR8560036","180"
"SRR8560039","180"
"SRR8560337","Other"
"SRR8560033","159"
"SRR8560032","159"
"SRR8560336","180"
"SRR8560335","21"
"SRR8560322","180"
"SRR8560321","Other"
"SRR8560498","180"
"SRR8560499","Other"
"SRR8560454","Other"
"SRR8560455","Other"
"SRR8560452","502"
"SRR8560453","11"
"SRR8560450","Other"
"SRR8560451","Other"
"SRR8560495","180"
"SRR8560496","Other"
"SRR8560258","180"
"SRR8560257","38"
"SRR8560256","15"
"SRR8560255","180"
"SRR8560262","Other"
"SRR8560261","277"
"SRR8560260","21"
"SRR8560259","180"
"SRR8560264","15"
"SRR8567156","14"
"SRR8566485","Other"
"SRR8567148","38"
"SRR8567149","Other"
"SRR8566648","Other"
"SRR8566603","44"
"SRR8566724","Other"
"SRR8566723","2"
"SRR8566722","26"
"SRR8566721","Other"
"SRR8566720","Other"
"SRR8566719","2"
"SRR8567008","15"
"SRR8567094","33"
"SRR8566605","180"
"SRR8566606","Other"
"SRR8566747","180"
"SRR8566604","3"
"SRR8566601","180"
"SRR8566602","15"
"SRR8566599","180"
"SRR8566600","180"
"SRR8560263","Other"
"SRR8560087","Other"
"SRR8560088","Other"
"SRR8560089","Other"
"SRR8560090","180"
"SRR8560083","180"
"SRR8560084","277"
"SRR8560085","Other"
"SRR8560086","Other"
"SRR8560091","Other"
"SRR8560092","21"
"SRR8560501","15"
"SRR8560500","Other"
"SRR8560503","277"
"SRR8560502","180"
"SRR8560505","502"
"SRR8560504","Other"
"SRR26355185","21"
"SRR26355184","93"
"SRR26355397","Other"
"SRR26355542","Other"
"SRR26355527","Other"
"SRR26354804","Other"
"SRR26354789","180"
"SRR26354998","551"
"SRR26355627","Other"
"SRR26354936","Other"
"SRR26355183","15"
"SRR26355172","146"
"SRR26355161","Other"
"SRR26355150","Other"
"SRR26354915","146"
"SRR26354904","146"
"SRR26355601","502"
"SRR26355590","551"
"SRR26355579","556"
"SRR26355408","146"
"SRR26355396","146"
"SRR26355385","180"
"SRR26355146","551"
"SRR26355135","34"
"SRR26355124","146"
"SRR26354889","146"
"SRR26354878","146"
"SRR26354867","557"
"SRR26355564","558"
"SRR26355553","Other"
"SRR26355541","146"
"SRR26355370","502"
"SRR26355359","33"
"SRR26355348","231"
"SRR26355109","22"
"SRR26355098","560"
"SRR26355087","180"
"SRR26354852","15"
"SRR26354841","146"
"SRR26354830","Other"
"SRR26355526","146"
"SRR26355515","180"
"SRR26355344","562"
"SRR26355333","146"
"SRR26355322","146"
"SRR26355083","551"
"SRR26355072","231"
"SRR26355061","Other"
"SRR26354826","Other"
"SRR26354815","Other"
"SRR26354803","Other"
"SRR26355500","67"
"SRR26355489","556"
"SRR26355478","180"
"SRR26355307","146"
"SRR26355296","180"
"SRR26355285","180"
"SRR26355046","180"
"SRR26355035","26"
"SRR26355024","Other"
"SRR26354788","Other"
"SRR26354777","567"
"SRR26354766","Other"
"SRR26355463","Other"
"SRR26355452","Other"
"SRR26355281","146"
"SRR26355270","180"
"SRR26355259","570"
"SRR26355020","180"
"SRR26355009","50"
"SRR26354997","Other"
"SRR26354762","Other"
"SRR26354751","146"
"SRR26354740","146"
"SRR26355245","146"
"SRR26355234","Other"
"SRR26355223","574"
"SRR26354984","180"
"SRR26354973","575"
"SRR26354962","180"
"SRR26355626","180"
"SRR26355615","Other"
"SRR26355604","180"
"SRR26355433","15"
"SRR26355422","Other"
"SRR26355411","Other"
"SRR26355208","146"
"SRR26355197","146"
"SRR26355186","Other"
"SRR26354947","558"
"SRR26354935","146"
"SRR26354934","557"
"SRR26354933","Other"
"SRR26354932","146"
"SRR26354931","Other"
"SRR26354930","146"
"SRR26354929","451"
"SRR26354928","146"
"SRR26354927","Other"
"SRR26354926","Other"
"SRR26355182","33"
"SRR26355181","146"
"SRR26355180","180"
"SRR26355179","146"
"SRR26355178","451"
"SRR26355177","180"
"SRR26355176","180"
"SRR26355175","146"
"SRR26355174","50"
"SRR26355173","556"
"SRR26355171","146"
"SRR26355170","451"
"SRR26355169","180"
"SRR26355168","Other"
"SRR26355167","Other"
"SRR26355166","Other"
"SRR26355165","575"
"SRR26355164","Other"
"SRR26355163","Other"
"SRR26355162","556"
"SRR26355160","574"
"SRR26355159","Other"
"SRR26355158","146"
"SRR26355157","570"
"SRR26355156","180"
"SRR26355155","Other"
"SRR26355154","451"
"SRR26355153","574"
"SRR26355152","180"
"SRR26355151","Other"
"SRR26354925","180"
"SRR26354924","26"
"SRR26354923","Other"
"SRR26354922","180"
"SRR26354921","180"
"SRR26354920","Other"
"SRR26354919","180"
"SRR26354918","562"
"SRR26354917","Other"
"SRR26354916","180"
"SRR26354914","180"
"SRR26354913","180"
"SRR26354912","146"
"SRR26354911","Other"
"SRR26354910","Other"
"SRR26354909","574"
"SRR26354908","146"
"SRR26354907","Other"
"SRR26354906","26"
"SRR26354905","Other"
"SRR26354903","557"
"SRR26354902","146"
"SRR26354901","146"
"SRR26354900","Other"
"SRR26354899","Other"
"SRR26354898","180"
"SRR26354897","146"
"SRR26354896","Other"
"SRR26354895","180"
"SRR26354894","146"
"SRR26355600","Other"
"SRR26355599","Other"
"SRR26355598","146"
"SRR26355597","Other"
"SRR26355596","Other"
"SRR26355595","146"
"SRR26355594","556"
"SRR26355593","146"
"SRR26355592","Other"
"SRR26355591","15"
"SRR26355589","Other"
"SRR26355588","180"
"SRR26355587","562"
"SRR26355586","146"
"SRR26355585","557"
"SRR26355584","Other"
"SRR26355583","Other"
"SRR26355582","180"
"SRR26355581","180"
"SRR26355580","451"
"SRR26355578","Other"
"SRR26355577","146"
"SRR26355576","558"
"SRR26355575","557"
"SRR26355574","146"
"SRR26355573","33"
"SRR26355572","180"
"SRR26355571","562"
"SRR26355570","180"
"SRR26355409","180"
"SRR26355407","180"
"SRR26355406","Other"
"SRR26355405","180"
"SRR26355404","180"
"SRR26355403","180"
"SRR26355402","451"
"SRR26355401","575"
"SRR26355400","Other"
"SRR26355399","180"
"SRR26355398","146"
"SRR26355395","Other"
"SRR26355394","180"
"SRR26355393","Other"
"SRR26355392","562"
"SRR26355391","146"
"SRR26355390","Other"
"SRR26355389","562"
"SRR26355388","180"
"SRR26355387","180"
"SRR26355386","575"
"SRR26355384","146"
"SRR26355383","557"
"SRR26355382","Other"
"SRR26355381","Other"
"SRR26355380","Other"
"SRR26355379","180"
"SRR26355378","Other"
"SRR26355149","Other"
"SRR26355148","562"
"SRR26355147","146"
"SRR26355145","560"
"SRR26355144","575"
"SRR26355143","Other"
"SRR26355142","Other"
"SRR26355141","574"
"SRR26355140","614"
"SRR26355139","Other"
"SRR26355138","Other"
"SRR26355137","146"
"SRR26355136","616"
"SRR26355134","Other"
"SRR26355133","Other"
"SRR26355132","180"
"SRR26355131","26"
"SRR26355130","502"
"SRR26355129","180"
"SRR26355128","180"
"SRR26355127","146"
"SRR26355126","Other"
"SRR26355125","180"
"SRR26355123","50"
"SRR26355122","231"
"SRR26355121","Other"
"SRR26355120","180"
"SRR26355119","556"
"SRR26355118","Other"
"SRR26354893","146"
"SRR26354892","Other"
"SRR26354891","Other"
"SRR26354890","562"
"SRR26354888","Other"
"SRR26354887","231"
"SRR26354886","146"
"SRR26354885","15"
"SRR26354884","180"
"SRR26354883","Other"
"SRR26354882","Other"
"SRR26354881","Other"
"SRR26354880","Other"
"SRR26354879","Other"
"SRR26354877","557"
"SRR26354876","575"
"SRR26354875","Other"
"SRR26354874","560"
"SRR26354873","146"
"SRR26354872","180"
"SRR26354871","277"
"SRR26354870","180"
"SRR26354869","451"
"SRR26354868","Other"
"SRR26354866","Other"
"SRR26354865","Other"
"SRR26354864","Other"
"SRR26354863","Other"
"SRR26354862","230"
"SRR26355569","Other"
"SRR26355568","146"
"SRR26355567","146"
"SRR26355566","Other"
"SRR26355565","574"
"SRR26355563","Other"
"SRR26355562","Other"
"SRR26355561","26"
"SRR26355560","Other"
"SRR26355559","50"
"SRR26355558","Other"
"SRR26355557","146"
"SRR26355556","146"
"SRR26355555","451"
"SRR26355554","146"
"SRR26355552","180"
"SRR26355551","557"
"SRR26355550","180"
"SRR26355549","180"
"SRR26355548","180"
"SRR26355547","557"
"SRR26355546","551"
"SRR26355545","557"
