"Accession","cluster_limited"
"SRR8559827","1"
"SRR8559828","1"
"SRR8559829","Other"
"SRR8559830","11"
"SRR8559831","15"
"SRR8559841","Other"
"SRR8559842","Other"
"SRR8559675","77"
"SRR8559445","Other"
"SRR8559677","Other"
"SRR8559676","Other"
"SRR8559679","Other"
"SRR8559678","26"
"SRR8559681","16"
"SRR8559916","1"
"SRR8559918","15"
"SRR8559496","Other"
"SRR8559501","15"
"SRR8559502","1"
"SRR8559499","1"
"SRR8559500","Other"
"SRR8559937","16"
"SRR8559917","Other"
"SRR8559892","23"
"SRR8559893","Other"
"SRR8559890","26"
"SRR8559891","Other"
"SRR8559896","Other"
"SRR8559897","58"
"SRR8559894","Other"
"SRR8559895","Other"
"SRR8559900","1"
"SRR8559901","15"
"SRR8559774","15"
"SRR8559773","Other"
"SRR8559772","Other"
"SRR8559771","1"
"SRR8559778","Other"
"SRR8559777","1"
"SRR8559776","Other"
"SRR8559775","Other"
"SRR8559766","67"
"SRR8559765","23"
"SRR8559517","1"
"SRR8559518","86"
"SRR8559519","38"
"SRR8559520","14"
"SRR8559513","15"
"SRR8559514","2"
"SRR8559515","14"
"SRR8559516","1"
"SRR8559509","Other"
"SRR8559504","Other"
"SRR8559497","14"
"SRR8559498","33"
"SRR8559495","93"
"SRR8559492","15"
"SRR8559493","Other"
"SRR8559614","Other"
"SRR8559613","3"
"SRR8559616","1"
"SRR8559615","15"
"SRR8559617","33"
"SRR8559620","15"
"SRR8559619","Other"
"SRR8559612","1"
"SRR8559611","Other"
"SRR8559763","Other"
"SRR8559764","Other"
"SRR8559198","Other"
"SRR8559199","23"
"SRR8559767","1"
"SRR8559768","Other"
"SRR8559769","14"
"SRR8559770","15"
"SRR8559201","26"
"SRR8559206","Other"
"SRR8559312","1"
"SRR8559311","1"
"SRR8559310","Other"
"SRR8559309","38"
"SRR8559308","1"
"SRR8559307","1"
"SRR8559306","Other"
"SRR8559305","1"
"SRR8559304","23"
"SRR8559303","1"
"SRR8559427","35"
"SRR8559428","1"
"SRR8559425","33"
"SRR8559426","3"
"SRR8559423","15"
"SRR8559424","Other"
"SRR8559421","15"
"SRR8559422","23"
"SRR8559430","1"
"SRR8559431","Other"
"SRR8559510","Other"
"SRR8559417","15"
"SRR8559512","33"
"SRR8559511","11"
"SRR8559506","Other"
"SRR8559505","1"
"SRR8559508","23"
"SRR8559618","Other"
"SRR8559507","1"
"SRR8559434","15"
"SRR8559433","Other"
"SRR8559654","Other"
"SRR8559655","23"
"SRR8559656","67"
"SRR8559657","16"
"SRR8559650","Other"
"SRR8559651","15"
